time,year,lat,long,commodity,volume,state,release type,water,cost,cause
2010-02-16 07:42:00,2010,41.94352,-88.23353,REFINED LIQUIDS,0,IL,LEAK,NO,38379.86537127001,EQUIPMENT FAILURE
2010-03-01 11:50:00,2010,37.108470000000004,-100.80037,CARBON DIOXIDE,84,KS,OTHER,NO,4414.659264399721,OTHER INCIDENT CAUSE
2010-02-22 10:38:00,2010,32.224709999999995,-101.4044,FLAMMABLE GASES,42,TX,LEAK,NO,33782.83414295633,CORROSION FAILURE
2010-02-19 06:50:00,2010,40.6086,-74.2399,REFINED LIQUIDS,0,NJ,LEAK,NO,21507.3143650243,EQUIPMENT FAILURE
2010-02-21 12:45:00,2010,31.13284,-101.18974,CRUDE OIL,378,TX,LEAK,NO,21991.543372657892,CORROSION FAILURE
2010-02-22 10:56:00,2010,47.71696,-117.35583000000001,REFINED LIQUIDS,0,WA,LEAK,NO,11055.514226231784,INCORRECT OPERATION
2010-02-23 23:30:00,2010,41.21235,-95.8301,REFINED LIQUIDS,1176,IA,OTHER,NO,162256.9651630812,INCORRECT OPERATION
2010-02-25 04:50:00,2010,36.6659,-97.8846,FLAMMABLE GASES,576156,OK,RUPTURE,NO,2012111.135600278,INCORRECT OPERATION
2010-02-20 06:30:00,2010,32.4785,-94.8679,CRUDE OIL,336,TX,OVERFILL OR OVERFLOW,YES,117614.8238723109,EQUIPMENT FAILURE
2010-02-25 10:00:00,2010,35.483540000000005,-80.7357,REFINED LIQUIDS,0,NC,LEAK,NO,20060.91603053437,EQUIPMENT FAILURE
2010-03-01 09:16:00,2010,47.68857,-95.41731999999999,CRUDE OIL,126,MN,OVERFILL OR OVERFLOW,NO,23997.63497571134,INCORRECT OPERATION
2010-03-04 05:30:00,2010,30.16801,-93.34000999999999,REFINED LIQUIDS,294,LA,LEAK,YES,81752.94934073555,EQUIPMENT FAILURE
2010-03-08 11:01:00,2010,39.36359,-93.45965,REFINED LIQUIDS,3528,MO,OTHER,YES,14196.085218598215,EQUIPMENT FAILURE
2010-03-01 08:10:00,2010,32.48325,-94.83034,CRUDE OIL,8316,TX,RUPTURE,NO,20146.4421929216,CORROSION FAILURE
2010-03-04 23:00:00,2010,30.17319,-90.78774,FLAMMABLE GASES,0,LA,LEAK,NO,17097.68605135325,EQUIPMENT FAILURE
2010-01-01 07:15:00,2010,38.6707,-97.78123000000001,FLAMMABLE GASES,882,KS,OTHER,NO,2046.339208882722,INCORRECT OPERATION
2010-01-25 11:07:00,2010,29.47,-90.25444,CRUDE OIL,8484,LA,OVERFILL OR OVERFLOW,YES,838911.0340041652,EQUIPMENT FAILURE
2010-01-27 15:30:00,2010,29.8916,-93.9897,REFINED LIQUIDS,0,TX,LEAK,NO,75546.01387925056,OTHER INCIDENT CAUSE
2010-03-15 10:00:00,2010,32.652,-103.1393,CRUDE OIL,84,NM,OTHER,NO,1458.9757113115902,EQUIPMENT FAILURE
2010-03-03 22:20:00,2010,28.104059999999997,-90.79238000000001,CRUDE OIL,0,,LEAK,YES,972.2312283136706,EQUIPMENT FAILURE
2010-01-08 23:38:00,2010,48.99555,-97.52554,CRUDE OIL,158928,ND,RUPTURE,NO,5275851.121443437,MATERIAL FAILURE OF PIPE OR WELD
